CONTRACT_PK,USER_CODE,GIS_CD,CT_PY_AMT,CT_PY_PD,CT_CHNL_CD,INSU_DAY,INSU_YEAR,MGG_GRP
531,323611,38,23,10,6,3652,10,A95
532,1395528,38,21,5,4,1826,5,A95
533,1395528,38,19,5,4,1826,5,A95
534,786338,37,10,5,1,1826,5,A95
535,786338,37,14,5,1,3653,11,A95
536,477159,32,16,5,1,3652,10,A95
537,1188398,31,39,10,6,3653,11,A95
538,1188398,31,16,10,6,3652,10,A95
539,794994,31,35,10,3,20089,56,A95
540,340449,31,31,10,99,3653,11,A95
541,881309,36,38,10,1,3653,11,A95
542,422137,37,16,10,6,3652,10,A95
543,422137,37,18,10,6,3652,10,A95
544,422137,37,8,10,6,3653,11,A95
545,422137,37,27,10,6,3652,10,A95
546,1935346,31,24,15,6,5478,15,A95
547,1835842,34,25,10,6,3653,11,A95
548,1599281,35,22,5,1,3653,11,A95
549,712453,38,21,10,3,3652,10,A95
550,726914,36,150,15,1,5479,16,A95
551,1478138,34,21,10,6,3653,11,A95
552,1478138,34,26,10,6,3653,11,A95
553,994087,23,19,10,6,3652,10,A95
554,1907632,31,68,10,1,3652,10,A95
555,694036,31,20,5,3,1827,6,A95
556,694036,31,21,5,3,1826,5,A95
557,1820117,31,10,5,1,1826,5,A95
558,1820117,31,16,5,1,3653,11,A95
559,1375866,31,28,10,6,3652,10,A95
560,1175053,31,26,5,1,1826,5,A95
561,701925,31,26,5,6,1826,5,A95
562,701925,31,25,5,6,1826,5,A95
563,64063,26,18,10,6,3653,11,A95
564,64063,26,12,10,6,3652,10,A95
565,64063,26,17,10,6,3652,10,A95
566,64063,26,16,10,6,3653,11,A95
567,1224405,37,20,10,6,3653,11,A95
568,988240,31,15,10,6,3652,10,A95
569,988240,31,12,10,6,3652,10,A95
570,1182364,11,16,5,5,3653,11,A95
571,818620,33,45,10,3,3652,10,A95
572,131136,22,33,5,6,1827,6,A95
573,131136,22,26,5,6,1826,5,A95
574,21283,32,37,5,6,1826,5,A95
575,1940344,23,36,10,3,3653,11,A95
576,1415885,22,24,10,6,3652,10,A95
577,877880,35,32,5,1,1826,5,A95
